radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,244,5,9115,36587,0,24.2905,60.3298,646,50,1,1320924914,1760290201,0
GSM,244,5,9115,36588,0,24.2861,60.3257,7967,49,1,1320924914,1760229362,0
GSM,244,5,9115,116,0,24.2902,60.3273,930,50,1,1320924914,1760286602,0
GSM,244,5,9115,9418,0,24.3538,60.3111,11219,50,1,1320924914,1760190662,0
GSM,244,5,16300,17055,0,24.1144,65.8371,2790,14,1,1340137473,1761089789,0
GSM,244,5,19000,3741,0,26.457,60.4924,5936,8,1,1365481396,1749246182,0
UMTS,244,91,5005,375156,476,22.0444,60.2821,11313,4,1,1367815387,1757395839,0
GSM,244,5,3070,39334,0,24.2268,61.6288,5719,48,1,1367882503,1747170269,0
GSM,244,5,2900,25239,0,21.8654,60.7385,9597,10,1,1371209335,1757395860,0
GSM,244,5,2900,39738,0,21.9202,60.7303,8091,32,1,1371209869,1757395860,0
GSM,244,5,9115,8074,0,24.2909,60.3334,517,38,1,1376550684,1760282703,0
GSM,244,5,9115,2380,0,24.3162,60.3537,3239,46,1,1376550684,1760298605,0
GSM,244,5,14300,6928,0,25.6103,62.0551,7131,26,1,1277472138,1742992022,0
LTE,244,91,4140,35937567,0,25.844,62.2407,610,27,1,1458594316,1763320509,0
LTE,244,91,4110,36035349,0,24.6662,60.9031,1045,36,1,1384118537,1776618602,0
GSM,244,5,14300,40372,0,25.0959,61.837,6291,50,1,1391410539,1742992014,0
LTE,244,91,4020,35930635,0,23.877,61.4872,770,28,1,1395251049,1764449464,0
LTE,244,91,4020,35919883,0,23.6969,61.5036,2327,50,1,1396772736,1740264349,0
LTE,244,91,4020,35919893,0,23.6907,61.498,4458,43,1,1397919730,1740264349,0
LTE,244,91,4010,35980063,0,25.098,60.3965,11959,36,1,1397991100,1746688502,0
LTE,244,91,4050,35915019,0,22.3093,60.4438,2109,19,1,1402562688,1741729579,0
GSM,244,5,3900,7125,0,24.9948,61.167,3891,26,1,1407654203,1750429021,0
GSM,244,5,3070,36367,0,24.9672,61.1635,500,50,1,1407656570,1750429021,0
GSM,244,5,9115,9823,0,24.3283,60.399,2444,45,1,1407656590,1760298841,0
GSM,244,5,14300,20013,0,25.4371,61.9891,3623,50,1,1407657052,1747170309,0
GSM,244,5,14300,7082,0,25.5882,62.0391,3395,50,1,1407657052,1742992021,0
GSM,244,5,14300,20246,0,25.614,62.0624,3935,50,1,1407657052,1742992022,0
GSM,244,5,1800,9839,0,25.6364,62.096,2025,3,1,1407657052,1742992022,0
GSM,244,5,1800,3058,0,25.6418,62.1071,4871,40,1,1407657052,1742992022,0
GSM,244,5,14300,41949,0,25.4553,61.9914,4450,50,1,1407657052,1747170309,0
