"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [Paikallinen aika]","Sademäärä [mm]","Ilman keskilämpötila [°C]","Ylin lämpötila [°C]","Alin lämpötila [°C]"
"Enontekiö Kilpisjärvi kyläkeskus","2016","5","16","03:00","-1","2.3","5.9","-1"
"Enontekiö Kilpisjärvi kyläkeskus","2016","5","17","03:00","-1","2.4","5","1"
"Enontekiö Kilpisjärvi kyläkeskus","2016","5","18","03:00","-1","1.7","5.7","-1"
"Enontekiö Kilpisjärvi kyläkeskus","2016","5","19","03:00","4.3","2.5","7.1","-2.2"
"Enontekiö Kilpisjärvi kyläkeskus","2016","5","20","03:00","-1","3.1","7","-2"
"Enontekiö Kilpisjärvi kyläkeskus","2016","5","21","03:00","-1","7.3","12.2","3"
"Enontekiö Kilpisjärvi kyläkeskus","2016","5","22","03:00","-1","9.2","14.6","3.3"
"Enontekiö Kilpisjärvi kyläkeskus","2016","5","23","03:00","7.5","8","12.6","3.1"
"Enontekiö Kilpisjärvi kyläkeskus","2016","5","24","03:00","-1","6.8","11.1","4"
"Enontekiö Kilpisjärvi kyläkeskus","2016","5","25","03:00","-1","5.8","8.4","3.1"
"Enontekiö Kilpisjärvi kyläkeskus","2016","5","26","03:00","-1","6.4","12.2","-0.4"
"Enontekiö Kilpisjärvi kyläkeskus","2016","5","27","03:00","-1","10","15.7","0.6"
"Enontekiö Kilpisjärvi kyläkeskus","2016","5","28","03:00","-1","11.9","18.5","3.7"
"Enontekiö Kilpisjärvi kyläkeskus","2016","5","29","03:00","-1","12.6","20.2","3.1"
"Enontekiö Kilpisjärvi kyläkeskus","2016","5","30","03:00","2.7","12.6","20.8","6.3"
"Enontekiö Kilpisjärvi kyläkeskus","2016","5","31","03:00","-1","13.2","19","6.4"
"Enontekiö Kilpisjärvi kyläkeskus","2016","6","1","03:00","-1","7.6","13.3","4.4"
"Enontekiö Kilpisjärvi kyläkeskus","2016","6","2","03:00","2.5","8.4","13.6","2"
"Enontekiö Kilpisjärvi kyläkeskus","2016","6","3","03:00","0.4","3.5","12.2","0.9"
"Enontekiö Kilpisjärvi kyläkeskus","2016","6","4","03:00","0","2.5","5","0.4"
"Enontekiö Kilpisjärvi kyläkeskus","2016","6","5","03:00","-1","2.3","4.7","-0.3"
"Enontekiö Kilpisjärvi kyläkeskus","2016","6","6","03:00","0.6","5.6","10.2","0"
"Enontekiö Kilpisjärvi kyläkeskus","2016","6","7","03:00","0.4","5.6","7.9","4.4"
"Enontekiö Kilpisjärvi kyläkeskus","2016","6","8","03:00","0.1","3.3","6.5","1.1"
"Enontekiö Kilpisjärvi kyläkeskus","2016","6","9","03:00","0.5","1.7","3.5","0"
"Enontekiö Kilpisjärvi kyläkeskus","2016","6","10","03:00","-1","4.1","8.1","1.5"
"Enontekiö Kilpisjärvi kyläkeskus","2016","6","11","03:00","-1","6.6","11.2","-0.1"
"Enontekiö Kilpisjärvi kyläkeskus","2016","6","12","03:00","0.4","6.1","10.4","2.5"
"Enontekiö Kilpisjärvi kyläkeskus","2016","6","13","03:00","20.9","5","9.6","3.6"
"Enontekiö Kilpisjärvi kyläkeskus","2016","6","14","03:00","15","4.1","5.4","1.2"
"Enontekiö Kilpisjärvi kyläkeskus","2016","6","15","03:00","0.3","7.1","11.2","2.5"
"Enontekiö Kilpisjärvi kyläkeskus","2016","6","16","03:00","1.6","6.9","11.2","5"
"Enontekiö Kilpisjärvi kyläkeskus","2016","6","17","03:00","21.5","8.2","12","4"
"Enontekiö Kilpisjärvi kyläkeskus","2016","6","18","03:00","0.9","6.7","9.5","5"
"Enontekiö Kilpisjärvi kyläkeskus","2016","6","19","03:00","4.1","4","5","3.4"
"Enontekiö Kilpisjärvi kyläkeskus","2016","6","20","03:00","4.6","4.8","8.7","2.5"
"Enontekiö Kilpisjärvi kyläkeskus","2016","6","21","03:00","1.5","9","12.3","4.7"
"Enontekiö Kilpisjärvi kyläkeskus","2016","6","22","03:00","0","9","11.4","6.6"
"Enontekiö Kilpisjärvi kyläkeskus","2016","6","23","03:00","-1","11.2","15.7","6.7"
"Enontekiö Kilpisjärvi kyläkeskus","2016","6","24","03:00","1.4","11.3","15.1","8.2"
"Enontekiö Kilpisjärvi kyläkeskus","2016","6","25","03:00","-1","10","15.4","4.4"
"Enontekiö Kilpisjärvi kyläkeskus","2016","6","26","03:00","-1","11.7","18.3","6.2"
"Enontekiö Kilpisjärvi kyläkeskus","2016","6","27","03:00","0.3","15.7","19.9","11.2"
"Enontekiö Kilpisjärvi kyläkeskus","2016","6","28","03:00","0.1","12.9","19.2","11.8"
"Enontekiö Kilpisjärvi kyläkeskus","2016","6","29","03:00","16.5","10.8","14.3","8.9"
"Enontekiö Kilpisjärvi kyläkeskus","2016","6","30","03:00","-1","14.5","19.3","8.3"
"Enontekiö Kilpisjärvi kyläkeskus","2016","7","1","03:00","0.1","15.6","19.5","12.5"
"Enontekiö Kilpisjärvi kyläkeskus","2016","7","2","03:00","2.2","14.7","17.7","12.9"
"Enontekiö Kilpisjärvi kyläkeskus","2016","7","3","03:00","0","14.3","16.5","11.7"
"Enontekiö Kilpisjärvi kyläkeskus","2016","7","4","03:00","0.3","13","18.6","6.8"
"Enontekiö Kilpisjärvi kyläkeskus","2016","7","5","03:00","34.6","8.5","13.8","7.6"
"Enontekiö Kilpisjärvi kyläkeskus","2016","7","6","03:00","4","9.2","11.8","7.4"
"Enontekiö Kilpisjärvi kyläkeskus","2016","7","7","03:00","11.8","7.8","9.7","7.5"
"Enontekiö Kilpisjärvi kyläkeskus","2016","7","8","03:00","-1","8.7","12.6","6.4"
"Enontekiö Kilpisjärvi kyläkeskus","2016","7","9","03:00","1","9","12.3","7.1"
"Enontekiö Kilpisjärvi kyläkeskus","2016","7","10","03:00","6.7","8.8","10.2","8.1"
"Enontekiö Kilpisjärvi kyläkeskus","2016","7","11","03:00","0.2","12.2","19.3","7.3"
"Enontekiö Kilpisjärvi kyläkeskus","2016","7","12","03:00","-1","15.9","22.7","8.9"
